"articulo","iditem","cod_familia","cod_sub_familia"
"PINZA DE DISECCION ADSON BROWN",66454,2,9
"PINZA DE DISECCION GILLIES",66452,2,9
"REPETIDOR DE PUERTOS",58969,10,43
"CHICHARRA DE TIMBRE",291,2,9
"TOPE DE GOMA TRAVESAÑO MOTOR",23493,2,12
"SOBRE MANILA CON BURBUJA DE AIRE",66448,2,4
"BATERIA PARA LECTOR DE CODIGO DE BARRAS",12380,2,9
"MADERA DE BALZA",13289,2,7
"CINTA PLASTICA PARA MOSQUITERO",13469,2,3
"TEE DE BRONCE PASE GAS",15275,2,8
"MANTENIMIENTO DE ANALIZADOR BIOQUIMICO DE LABORATORIO",65191,3,7
"HORMIGON PRETENSADO",6203,2,7
"EJECUCION DE EMPALMES EN LINEA SUBTERRANEA",9761,6,3
"CONEXION DE TUBERIA FLEXIBLE PARA MAQUINA PELADORA DE NEUMATICOS",13517,4,1
"ARRENDAMIENTO DE SISTEMA DE GRABACION DIGITAL DE COMUNICACION TELEFONICA",66270,3,5
"CARROZADO INTERIOR DE FURGON",66470,3,7
"JUEGO DE VASOS CON DISEÑO",66471,2,9
"JUEGO DE RIELES PARA UPS",66465,2,9
"CAMPERA CAMUFLADA",14458,2,3
"REPARACION DE ANAFE",66472,3,7
"CASQUILLO DE DIRECCION",65309,2,12
"COLOCACION DE RELLENO ANTI PINCHADURAS",13165,3,7
"CUBETA CILINDRO DE DIRECCION",26859,2,12
"PERNO DE BALANCIN",23179,2,12
"SELLO DE PERNO PUNTA DE EJE",23437,2,12
"TORNILLO DE FIJACION DE EJE DE BALANCINES",65271,2,12
"TUERCA AUTOBLOCANTE DEL CONVERTIDOR",13249,2,12
"CONFECCION Y PLANTACION DE CANTERO FLORAL",10767,3,7
"HARINA DE SOJA (USO ANIMAL)",29690,2,1
"MAQUINA DE COMPRIMIR ROTATIVA",64779,4,1
"ANTICUERPO ANTI MAMAGLOBINA (PARA INMUNOHISTOQUIMICA)",66037,2,6
"ANTICUERPO ANTI MELAN A (PARA INMUNOHISTOQUIMICA)",66038,2,6
"ANTICUERPO ANTI CA 19-9 (PARA INMUNOHISTOQUIMICA)",66032,2,6
"REACTIVO PARA LA DETECCION DE ANTICUERPO ANTI-ONCOPROTEINA BCL-6",27634,2,6
"ACIDO DINITROTIOBENZOICO",66424,2,6
"REPARACION DE HABITAT PARA ANIMALES",3122,3,7
"CAJA DE TRANSFERENCIA",22510,2,12
"MOCHILA CON ARNES",28482,2,9
"MODULO CON ESQUINERO DE VIDRIO",57509,4,8
"SOFTWARE DE GESTION DE INCIDENTES",66494,10,43
"INTRODUCTOR FROVA PARA INTUBACION",66495,2,9
"BOLSA DE TELA NO TEJIDA",66492,2,3
"MANGUERA PARA MOTOBOMBA",66491,2,6
"ALIMENTO BALANCEADO PARA GATOS",12871,2,1
"PARICALCITOL(INYECTABLE)",60819,2,13
"REPUESTO Y /O ACCESORIO PARA EQUIPO DE OXIGENOTERAPIA",61773,2,12
"REACTIVO PARA DETECCION DE ANTICUERPO ANTI-EBNA IGG, VIRUS EPSTEIN BARR",28178,2,6
"REPARACION DE TORRE DE ELEVADOR",9640,3,7
"MANTENIMIENTO DE FUENTES (SISTEMA HIDRAULICO Y LUMINICO)",9642,3,7
"ARRENDAMIENTO DE SALA DE JUEGO",66501,3,5
"FLEXIBLE DE AGUA PARA MONOCOMANDO",64601,2,8
"TORCOMETRO REGULABLE DE DISPARO CON CRIQUET ENCASTRE 1/2""",6469,2,8
"SOLDADOR CERAMICO",66354,2,8
"MONTAJE DE LAMPARA CIALITICA",66496,6,8
"ESTANDAR DE BETA-TREMBOLONA",66479,2,6
"ESTANDAR DE DIETILESTILBESTROL DEUTERADO (D8)",66480,2,6
"SOLUCION ESTANDAR AROCLOR 1242",66502,2,6
"SOLUCION ESTANDAR AROCLOR 1248",66503,2,6
"SOLUCION ESTANDAR AROCLOR 1254",66504,2,6
"SOLUCION ESTANDAR AROCLOR 1260",66505,2,6
"MASA DE HOJALDRE FRESCA",65689,2,1
"REPARACION DE ESTUFA DE INCLUSION EN PARAFINA",66520,3,7
"CUADRO CON MARCO DE MADERA CON ESCUDO",66385,2,7
"SERVICIO DE DESTRUCCION DE DOCUMENTOS",66523,3,9
"SEPARADOR (SPACER FLANGE)",9115,2,12
"DESTELLADOR MECANICO",66476,2,12
"CHAPA ANTIVIBRATORIA DE PASTILLA DE FRENO",66477,2,12
"MEDIDOR DE PRESION DE AIRE TIPO LAPIZ",1259,2,8
"PALANCA PARA DESLLANTAR",11785,2,8
"PROTECTOR DE FILTRO PARA MASCARA AUTOFILTRANTE",66510,2,9
"SACA OVULO",2261,2,8
"JUEGO DE SELLOS DE CILINDRO DE FRENO",6419,2,12
"PULIDORA-LIJADORA DE AIRE COMPRIMIDO",66511,2,8
"MANTENIMIENTO DE EQUIPO PARA DETERMINACION DE NITROGENO Y PROTEINAS KJELDAHL",8875,3,7
"TARJETERO DE CUERO",66388,2,3
"PORTAFILTROS PARA FRESNEL",9659,4,4
"CLORPROMAZINA CLORHIDRATO (USO VETERINARIO)",6112,2,6
"TEE DOBLE ESPIGA-ROSCA HEMBRA CON REDUCCION DE POLIETILENO",36271,2,6
"ELABORACION DE GUION",66458,3,9
"NAPROXENO-LANSOPRAZOL (COMPRIMIDOS)",66314,2,13
"RETEN DE VALVULA DE ESCAPE",66400,2,12
"RECAMBIO DE VALVULA DE TUBO DE GAS",8593,3,7
"ANSA PARA CIRUGIA ENDOSCOPICA",44494,2,9
"REPARACION DE PASAMANO DE MADERA",13396,3,7
"INTRODUCTOR ESCHMANN PARA INTUBACION ENDOTRAQUEAL",66527,2,9
"LIMPIADOR DE AIRE COMPRIMIDO",66464,2,6
"ALMOHADILLA DE ESPUMA PARA AURICULARES",66524,2,6
"ENGRANAJE DE CUENTA KILOMETROS",66149,2,12
"CLIP ANEURISMA YASARGIL ESTANDAR PERMANENTE FENESTRADO DIAM 3.5MM",41618,2,9
"CUPULA DE PARACAIDAS",46721,4,9
"DISPOSITIVO DE APERTURA AUTOMATICA PARA PARACAIDAS",59783,4,9
"PARACAIDAS",14507,4,9
"SIFON BOUCHAN DE HIERRO FUNDIDO",2214,2,8
"FILTRO DE TRAMPA DE AGUA PARA EQUIPO DE TRANSPORTE",76031,2,12
"AEROSOL LIMPIADOR MULTIUSO/ANTIESTATICO",66506,2,6
"CARRO DE TRAVELLING CON RUEDAS PARA CAMARA",7834,4,4
"MANGUERA DE 3"" PARA ASFALTO",22802,2,12
"ESTANDAR DE FIPRONIL",65982,2,6
"ESTANDAR DE MOXIDECTIN",65981,2,6
"LENTE OBJETIVO MACRO PARA CAMARA",65455,2,9
"PLACA DE REGULACION BBA DE INYECCION",23191,2,12
"COLILLA DE PVC HEMBRA HEMBRA",76340,2,6
"REPUESTO Y/O ACCESORIO PARA RESECTOSCOPIO",17372,2,9
"REPARACION DE LAVADOR DE MICROPLACA",66542,3,7
"INSEMINADOR DE ABEJAS",66543,4,3
"REFRACTOR PARA LUMINARIA DE ALUMBRADO PUBLICO",13642,2,9
"JUNTA INFERIOR DE CARCAZA DE EMBRAGUE DE TRANSMISION",6429,2,12
"FILTRO DE AIRE PARA BORDEADORA",66535,4,7
"MALLA POLIPROPILENO Y COLAGENO",66551,2,9
"PULIDORA NEUMATICA",66475,4,1
"PANEL ERITROCITARIO PARA TECNICA EN GEL",28040,2,6
"REPARACION DE TURBO DE EMBARCACION",66550,3,7
"FILTRO PARA PIPETA AUTOMATICA",18822,2,9
"SERVICIO DE CADETERIA",66541,3,9
"PINZA DE OLSEN",66544,2,9
"PINZA DE MAHNES",66552,2,9
"CAJA PARA CAPILARES 35 X 20 CM CON TAPA PVC",17715,2,9
"RODAMIENTO AXIAL DE RODILLOS ESFERICOS",29409,2,8
"AMPICILINA (USO EN LABORATORIO)",66408,2,6
"KIT PARA PROTECCION OPERADOR",7404,2,9
"KIT DE MICROFONO INALAMBRICO DIGITAL",74845,2,9
"AURICULAR PARA CELULAR",77827,2,9
"ABRILLANTADOR SIN SILICONA",65880,2,6
"JUEGO DE ALIMENTADORES DE DUPLICADOR DIGITAL",31386,2,12
"RUEDA LIBRE TINTA PARA EQUIPO DE IMPRENTA",5781,4,7
"SISTEMA DE EXPULSION DE DUPLICADOR DIGITAL",31387,2,12
"LIMPIADOR DE RODILLOS METALICOS (USO GRAFICO)",9156,2,9
"JUEGO DE RODILLO IMPRESOR DE DUPLICADOR DIGITAL",31391,2,12
"TRANSPORTADOR DE CINTA",8325,4,1
"IONOMERO DE VIDRIO PARA RESTAURACION",2880,2,6
"PROTECTOR DENTINO-PULPAR",40377,2,9
"SELLANTE DE FISURA DE FOTOCURADO",13701,2,6
"JUEGO DE ESPATULAS DE METAL",76762,2,8
"FORCEPS SUPERIOR PARA MOLARES IZQUIERDOS",2113,2,9
"FORCEPS SUPERIOR RECTOS ANTERIORES",2084,2,9
"FORCEPS SUPERIOR ""101"" PARA ANTERIORES Y PREMOLARES",2085,2,9
"FIJADOR DE GUARDAPOLVO DE CARDAN DELANTERO",65973,2,12
"BARRA DE ACERO 1030",66182,2,8
"MEDIDOR INFRARROJO DE TEMPERATURA A DISTANCIA (PISTOLA)",13004,2,9
"ACIDO BORONICO",37187,2,6
"PROTESIS TEFLON PARA OTOESCLEROSIS (ORL)",24983,2,9
"MANGUERA DE POLIURETANO",66271,2,6
"CARBACOL (USO OFTALMICO)",65509,2,13
"CEPILLO PARA LIMPIEZA DE LUMEN DE INSTRUMENTOS DE ENDOSCOPIA",66559,2,9
"SEÑALADOR BLANCO FIJO PARA NIVEL",13329,4,3
"EQUIPO ODONTOLOGICO COMPLETO",64487,4,3
"LAMPARA PARA SEMAFORO DE 220 A 240 V",3177,4,7
"REPUESTO Y/O ACCESORIO PARA MICROSCOPIO",52834,2,12
"RELOJ DE MESA",66389,2,9
"PONCHO EN TELA",66227,2,3
"REPARACION DE LLAMADOR NUMERICO ELECTRICO",9628,3,7
"TAPON MACHO DE ACERO CON RECUBRIMIENTO EPOXI",64114,2,8
"REPUESTO Y/O ACCESORIO PARA CAMINADORA ERGOMETRICA",66561,2,12
"ALAMBRE DE FRENADO",66057,2,12
"BISAGRA (PARA AERONAVE)",29856,2,12
"EMBELLECEDOR DE MANDO INTERIOR PUERTA",23850,2,12
"PLEGADORA DE METALES",6888,4,1
"PUNCION DIAGNOSTICA DE COLECCIONES Y ABSCESOS ECOGUIADA",64502,3,8
"PLANTILLA ELIPSE",3433,2,9
"TIRABUZON -DOBLE",13876,2,12
"ORTESIS ANTIEQUINO",27286,2,9
"MANTENIMIENTO DE SISTEMA DE AMARRE DE PUERTO",66626,3,7
"TABLA DE PROPIOCEPCION",66625,2,9
"RETEN DE SUSPENSION (PARA MOTO)",10871,2,12
"TORNILLO DE ACERO CON TUERCA CABEZA HEXAGONAL",66557,2,8
"BERMUDA PARA NAUTICA",66608,2,3
"GUANTE NAUTICO",66594,2,3
"ZAPATO NAUTICO PARA CABALLERO",66596,2,3
"DETECCION DE MUTACION DE GEN SCN5A - SINDROME DE BRUGADA",66627,3,8
"LANCETA PUNCION RN",19356,2,9
"INTERMEDIARIO O. FLEX",19132,2,9
"REACTIVO PARA DETECCION DE ANTICUERPO ANTI-BRUCELLA",22054,2,6
"RODAMIENTO AXIAL DE BOLAS DE DOBLE SENTIDO",5177,2,8
"RODAMIENTO DE AGUJAS SIN ARO INTERIOR",5045,2,8
"RODAMIENTO DE DOS HILERAS DE BOLAS CON CONTACTO ANGULAR",11406,2,8
"RODAMIENTO DE DOS HILERAS DE BOLAS CON CONTACTO ANGULAR CON RANURA DE LLENADO",5029,2,8
"RODAMIENTO DE DOS HILERAS DE BOLAS CON CONTACTO ANGULAR SIN RANURA DE LLENADO CON PLACA DE PROTECCION",5023,2,8
"DETERGENTE PARA LIMPIEZA DE MOTORES",66079,2,6
"ETIQUETA AUTOADHESIVA DE POLIPROPILENO",65725,2,4
"REPARACION DE PERDIDA DE GAS",66633,3,7
"TUERCA ALTA DE BRONCE ROSCA METRICA",1741,2,8
"ENGRANAJE DE 4ª Y 8ª PARA EQUIPO DE TRANSPORTE",27545,2,12
"CONGELADOR PARA PLASMA HUMANO",15326,4,3
"BOTA DE DESHIELO (PARA AERONAVE)",66004,2,12
"MANTENIMIENTO DE TANQUE ESTACIONARIO PARA GLP",65179,3,7
"ADAPTADOR PARA CANILLA",67944,2,8
"REACTIVO PARA DETECCION DE ANTICUERPOS ANTI MUSCULO LISO",65966,2,6
"DETECCION DE ANTIGENO PNEUMOCOCCICO EN ORINA",56269,3,8
"FILASTICA ALQUITRANADA",4855,2,9
"PERFIL C DE HIERRO",9674,2,8
"DETERMINACION DE MONOXIDO Y DIOXIDO DE CARBONO EN OXIGENO MEDICINAL",66644,3,8
"DELANTAL EN TELA NO TEJIDA",77327,2,3
"SUTURA POLIGLACTINA REVESTIDA C/BACTERIOSTATICO 2-0",37486,2,9
"FOSFOMICINA",26174,2,13
"GRIFO CON FLOTADOR PARA TANQUE",66591,2,8
"CONJUNTO DE ENCENDIDO",46825,4,7
"OXICLORURO DE COBRE",4343,2,6
"IMAZALIL",4281,2,6
"SEGURO DE VIAJE",66646,3,6
"REPARACION DE VALVULA ANTIRETORNO (CHECK VALVE)",12816,3,7
"CODO DE ACERO CON RECUBRIMIENTO EPOXI 90 MACHO-HEMBRA",64109,2,8
"SISTEMA DE CONTROL DE ENERGIA ELECTRICA",65468,4,3
"EQUIPO BPAP",53391,4,3
"REPARACION DE EQUIPO CENTRAL TIPO ""FAN-COIL""",3296,3,7
"CRISTAL PARA RELOJ ELECTROMECANICO",8189,2,12
"TERMOSTATO DE BULBO RIGIDO",65925,2,9
"PLACA FONDO EN U PARA HEMOAGLUTINACION",20132,2,9
"PAPEL PARA IMPRESORA Y/O FOTOCOPIADORA 200 G/M2",66618,2,4
"ARRENDAMIENTO DE CITOMETRO DE FLUJO",66521,3,5
"PORTA CUCHILLA PARA CORTADORA ROTATIVA",66648,2,12
"TORNILLO PARA LAMINA DE CORTADORA ROTATIVA",66657,2,12
"RODAMIENTO CAJA PORTA CUCHILLAS",66653,2,12
"LAMINA PARA CORTADORA ROTATIVA",66658,2,12
"POLEA DE CAJA REDUCTORA",66655,2,12
"POLEA PORTA CUCHILLAS",66649,2,12
"BUJE TREN TRASERO",27068,2,12
"ANILLO CAJA PORTA CUCHILLAS",66652,2,12
"RETEN CAJA PORTA CUCHILLAS",66651,2,12
"CUBO CAJA PORTA CUCHILLAS",66654,2,12
"TRABA DE EJE DE CAJA REDUCTORA",66656,2,12
"TOMOGRAFIA COMPUTARIZADA MULTICORTE DOS REGIONES SIN CONTRASTE",64947,3,8
"TOMOGRAFIA COMPUTARIZADA MULTICORTE UNA REGION SIN CONTRASTE",64941,3,8
"FIBROBRONCOSCOPIA CON LAVADO BRONQUIAL (ADULTO)",55509,3,8
"FIBROGASTROSCOPIA CON COLOCACION DE SONDA TRANSTUMORAL",33158,3,8
"2,4-DICLORO BENCIL ALCOHOL",37717,2,6
"FORRO PARA MANGA DE ADIESTRAMIENTO DE PERRO (ADULTO)",66285,2,9
"MANGA PARA ADIESTRAMIENTO DE PERRO (ADULTO)",66284,2,9
"MOTIVADOR PARA PERRO",66290,2,9
"MANOMETRO DE ACETILENO",66355,2,9
"CAJON DE MADERA CON CIERRE",7210,2,7
"CONTACTOR ENCAPSULADO",59349,2,9
"MAQUINA PARA CORTAR CAÑO",10553,2,8
"PASTA PARA UNION DE FIBRO CEMENTO",4836,2,6
"INSTALACION DE BATERIA PARA UNIDAD DE ALIMENTACION ININTERRUMPIDA (UPS)",66639,3,9
"REPUESTO Y/O ACCESORIO PARA ESTUFA",66338,2,12
"ARANDELA DEL CUADRO Y RASPADOR",28242,2,12
"REPUESTO Y/O ACCESORIO PARA BOMBA DE INFUSION",64807,2,12
"MANTENIMIENTO DE COMPAGINADOR DE FOTOCOPIADORA",66685,3,7
"KIT PARA DETECCION DE GLICOL EN ACEITE DE MOTOR",65892,2,12
"REGULADOR DE TENSION",65222,2,12
"MANTENIMIENTO DE CAMARA FOTOGRAMETRICA",65765,3,7
"TUBO DE CROSSA",21251,2,9
"SPRAY LUBRICANTE PARA MATERIAL QUIRURGICO",66684,2,9
"KIT PARA ANALISIS DE EXPRESION GENICA POR PCR EN TIEMPO REAL",65621,2,6
"TAPON PARA CAPILARES PORT CAPS 1.5"" BULK",21060,2,9
"TIJERA DELICADA RECTA PUNTA FINA",21110,2,9
"INSTALACION ELECTRICA PARA PC",66686,3,7
"CUPLA DE ACERO GALVANIZADO",75857,2,9
"MALLA DE HIERRO",65701,2,8
"PINZA PUNTA MEDIA CAÑA",66699,2,8
"CELDA DESCARTABLE PARA ESPECTROFOTOMETRO",41018,2,12
"EMBUDO ANALITICO PARA LIQUIDOS",41195,2,9
"MUELLE",10804,4,7
"SEMILLA DE PHYTOLACCA DIOICA",1597,2,1
"IODO PARA USO FUNGICIDA",4277,2,6
"CAMISTA DE ATLETISMO PARA CABALLERO",66600,2,3
"CAMPERA DEPORTIVA PARA CABALLERO",66602,2,3
"CANILLERA PARA TAEKWONDO",66605,2,9
"CASCO DE TAEKWONDO",66603,2,9
"DOBOK PARA TAEKWONDO",66606,2,3
"GUANTE PARA TAEKWONDO",66604,2,3
"PANTALON DEPORTIVO PARA CABALLERO",66598,2,3
"PROTECTOR DE ANTEBRAZO PARA TAEKWONDO",66607,2,9
"PROTECTOR PECTORAL DEPORTIVO",36520,2,9
"SHORT DE ATLETISMO PARA CABALLERO",66593,2,3
"SHORT DE ATLETISMO PARA DAMA",66592,2,3
"SISTEMA DE CAPTURA DE IMAGEN PARA MICROSCOPIO",35379,4,3
"INSUMOS PARA EQUIPO ELECTROFORESIS TOTALMENTE AUTOMATIZADO",37247,2,6
"LEVA DE FRENO DELANTERO IZQUIERDA",23921,2,12
"MICROPLACA EN Y",48191,2,9
"GUIA DE SALIDA PARA FOTOCOPIADORA",13566,2,12
"ANALIZADOR DE RESPIRADOR",38838,4,3
"EQUIPO PARA CALIBRACION Y VERIFICACION DE ELECTROBISTURI",59611,4,3
"EQUIPO PARA CALIBRACION Y VERIFICACION DE INCUBADORA",59609,4,3
"SORBITOL (USO VETERINARIO)",14276,2,6
"CAMARA DE INSPECCION DE PASAJE DE PVC",66103,2,6
"CAPONA",66744,2,9
"CERTIFICADO ELECTRONICO PARA PERSONAS",66661,2,4
"REPUESTO PARA EQUIPO DE ENSAYO DE DISOLUCION",17753,2,12
"TUBO PARA HELIO",15925,2,8
"VALVULA REGULADORA DE PRESION PARA GAS HELIO (USO ANALISIS INSTRUMENTAL)",7501,2,8
"MACHO PASE NC",12260,2,8
"IMPRIMACION PARA PISO",66110,2,6
"SOFTWARE DE SERVIDOR DE PORTAL",64678,10,43
"CINTA DE PVC",66096,2,6
"PANTALON SPORT PARA CABALLERO",66711,2,3
"BUZO ESCOTE V SINTETICO DE MANGA LARGA PARA CABALLERO",66710,2,3
"PANTALON MEDICO PARA DAMA",66718,2,3
"PANTALON MEDICO PARA CABALLERO",66719,2,3
"APARATO ELECTRICO PARA INSECTICIDA",66056,2,9
"ALCANTARILLA Y CALZADA",8103,6,1
"ARANDELA GUIA DE RUEDA",34478,2,12
"REPARACION DE CENTRIFUGA DE BOLSAS DE SANGRE",66436,3,7
"CONTROL PARA KIT DE RESOLUCION ALTA PARA DETERMINACION DE ESPECIFICIDADES HLA CLASE I",57330,2,6
"CONTROL PARA KIT DE RESOLUCION MEDIA PARA DETERMINACION DE ESPECIFICIDADES HLA CLASE I POR CITOMETRIA",57151,2,6
"REACTIVO DE RESOLUCION MEDIA PARA DETERMINACION DE ESPECIFICIDADES HLA CLASE I POR CITOMETRIA",57149,2,6
"REACTIVO DE RESOLUCION MEDIA PARA DETERMINACION DE ESPECIFICIDADES HLA CLASE II POR CITOMETRIA",57169,2,6
"REPARACION DE TREN DE ATERRIZAJE DE AERONAVE",66738,3,7
"TRATAMIENTO ANTICORROSIVO Y PINTURA DE AERONAVE",66739,3,7
"REACTIVO PARA DETERMINACION DE XQ FRAGIL",66155,2,6
"RADIOCIRUGIA ESTEREOTAXICA DE MALFORMACION ARTERIOVENOSA (MAV)",65608,3,8
"FILTRO DE CARTUCHO PARA INSECTICIDA",7503,2,9
"LUZ LASER",66743,4,4
"PAPEL PARA IMPRESORA Y/O FOTOCOPIADORA 100 G/M2",66093,2,4
"ARTICULACION DE RODILLA CON TRABA SUIZA (PARA ORTESIS)",64421,2,9
"DISCO DE EMBRAGUE PARA CAJA DE CAMBIOS DE EMBARCACION",66740,2,12
"SOFTWARE DE INTEGRACION DE APLICACIONES",64681,10,43
"CALDO TODD HEWITT CON GENTAMICINA Y ACIDO NALIDIXICO",64978,2,6
"ARPONAJE MAMARIO",58312,3,8
"MANGUITO DE FIJACION PARA RODAMIENTOS DE RODILLOS ESFERICOS",6473,2,8
"EQUIPO AUXILIAR (HALUROS METALICOS) EXTERIOR EN CAJA METALICA",13050,2,9
"SELLO O RING DE CAÑERIA DE REFRIFERACION",64541,2,12
"TORCOMETRO REGULABLE DE DISPARO CON REARME Y CRIQUET REVERSIBLE",6302,2,8
"MANGUERA C/PUNTERO PANTALLA(73CM)",22800,2,12
"ACELGA (USO ANIMAL)",11413,2,1
"NITRATO DE CALCIO TETRAHIDRATADO",10064,2,6
"SEMILLA DE SORGO GRANIFERO",45013,2,1
"SEMILLA DE TRIFOLIUM REPENS",64888,2,1
"ZAPALLO (USO ANIMAL)",11423,2,1
"HOJA DE SIERRA PARA MAQUINA DE 11 DIENTES POR PULGADA",54594,2,8
"TELA NO TEJIDA DE POLIPROPILENO",66111,2,6
"REFORMA DE REJA",10440,3,9
"JUEGO DE COJINETES DE BANCADA COMPRESOR",22684,2,12
"AGUARA-GUAZU",3905,4,9
"LICENCIA DE CONDUCIR",66759,3,6
"FLOTADOR DE CARBURADOR (PARA MOTO)",11980,2,12
"BOBINA PARA VALVULA SOLENOIDE",27363,2,9
"LUMINARIA FRESNEL",7831,4,4
"MAQUINA DE HUMO PARA ESCENARIO",9660,2,9
"SEGUIDOR PARA ESCENARIO",9661,2,9
"TACHO DE ILUMINACION PARA ESCENARIO",12457,2,9
"CASCO DE RODILLO SUPERIOR",34346,2,12
"CAMISA CAMUFLADA MANGA CORTA",14453,2,3
"FRASCO GOTERO DE POLIETILENO DE BAJA DENSIDAD (PEBD) IMPRESO",65484,2,6
"POTE DE PLASTICO LITOGRAFIADO",32449,2,6
"CASQUILLO DE ESTIRADOR DE BANDA",22534,2,12
"MODULO PARA BATERIA (PARA AERONAVE)",46580,2,12
"GEL DE COPOLIMERO POLIACRILATO POLIALCOHOL PARA AUMENTO TISULAR",66474,2,9
"MATERIAL OBTURACION INTERMEDIO",18872,2,6
"BARRA DE TECHO",66706,2,12
"IODURO DE SODIO (USO VETERINARIO)",12677,2,6
"PINTURA POLIESTER",66468,2,6
"ADITIVO MODIFICADOR DE ASFALTO",8195,2,6
"EQUIPO PARA REALIZAR PRACTICAS DE MECANICA",66757,4,4
"EQUIPO Y ACCESORIOS PARA REALIZAR PRACTICAS DE TERMOLOGIA",66758,4,4
"SET DE OPTICA PARA USO DIDACTICO",36834,2,9
"TRIFLOO",21225,2,9
"REACTIVO PARA COAMPLIFICACION DE SISTEMAS STRS Y AMELOGENINA",56829,2,6
"TANQUE CISTERNA CON CHASIS PARA AGUA",66773,4,1
"TUERCA DE BRONCE ROSCA BSB",1381,2,8
"MAQUINA PARA FABRICAR BLOQUES DE CONCRETO",66669,4,1
"INSTALACION DE SISTEMA DE AUDIO",32309,3,9
"PROCESADOR DE CHAPAS OFFSET",6338,4,2
"PARAFINA PLASTICA",66080,2,6
"MARIPOSA 21",19538,2,9
"SONDA DE ASPIRACION DE CIRCUITO CERRADO",20564,2,9
"PICARETA PARA SOLDADOR",47850,2,8
"PASTA SELLANTE PARA CAÑERIAS DE GAS",64064,2,9
"TEJUELA DE PRENSA",1231,2,7
"CONTRATACION DE ESPECTACULO ARTISTICO",66560,3,9
"PALANCA DE DESCOMPRESOR",23174,2,12
"PERNO ROSCADO PARA FIJACION DE BRAZOS DE SOSTEN DE LUMINARIAS",7859,2,9
"BOMBACHA PARA NIÑA",66785,2,3
"BUZO TIPO JOGGING PARA NIÑO",66790,2,3
"CAMPERA EN TELA AVION CON FORRO PARA NIÑO",66792,2,3
"PANTALON DE JEAN PARA NIÑO/NIÑA",66789,2,3
"BOXER PARA CABALLERO",66783,2,3
"BOXER PARA NIÑO",66784,2,3
"BUZO DE ALGODON MANGA LARGA PARA NIÑO",66787,2,3
"CALZADO DEPORTIVO PARA NIÑO",30530,2,3
"SOUTIEN PARA DAMA",66780,2,3
"PARLANTE EXTERNO VHF",66730,2,12
"CINTA DE ALUMINIO PARA SISTEMAS DE CALEFACCION",27709,2,8
"UNION DOBLE DE ACERO CON RECUBRIMIENTO EPOXI",64107,2,8
"AISLANTE DE NEOPRENO PARA CAÑO",15308,2,6
"TEE DE HIERRO PARA CALEFACCION",4875,2,8
"HORQUILLA DE CUARTA Y QUINTA",5907,2,12
"COLORANTE ORCEINA",27908,2,6
"GAMMAGRAFIA",24514,3,8
"KIT DE REACTIVOS PARA MARCADO DE ADN PARA TECNICA ARRAY CGH",64824,2,6
"BUZO ESCOTE V DE LANA PARA CABALLERO",66709,2,3
"CASACA MEDICA PARA CABALLERO",66717,2,3
"SELLO RASPADOR DE CILINDRO DE LAMINA",66662,2,12
"JUEGO DE REPARACION DE CILINDRO LEVANTA CUCHILLA",28119,2,12
"EJE DE RUEDA MOTRIZ",66637,2,12
"VALVULA DE DISTRIBUIDOR DE CIRCULO",67000,2,12
"EJE DE TANDEM",22617,2,12
"PERNO DE PLUMA DE TACHO",66635,2,12
"VALVULA DISTRIBUIDOR HIDRAULICO",5974,2,12
"BOMBA HIDRAULICA DE APLANADORA",22482,2,12
"MOTOR DE VIBRADOR",66638,2,12
"JUEGO DE REPARACION DE CILINDRO DE ARTICULACION",28118,2,12
"JUEGO DE REPARACION DE CILINDRO DESPLAZAMIENTO DE LAMINA",28120,2,12
"SALIDA DE MARTILLO",22944,2,12
"ANILLO DE CILINDRO DE ARTICULACION",66636,2,12
"CONTROL DE CAMBIOS",27952,2,12
"ARENADO DE PIEZA METALICA",7580,3,9
"MOTOSIERRA TELESCOPICA",9058,4,1
"DESTELLADOR CAMBIA LAMPARA PARA LINTERNA MARINA",66771,4,9
"REPARACION DE EQUIPO DE REVELADO DE IMAGENES RADIOGRAFICAS",66540,3,7
"EQUIPO PARA ABLACION POR ALTA FRECUENCIA",50382,4,3
"POLISOMNOGRAFO",66772,4,3
"RECONSTRUCCION DE MOTOR",65383,3,7
"CEREZA CONFITADA NATURAL",14002,2,1
"ZAPALLO EN ALMIBAR",13975,2,1
"ESENCIA SABORIZANTE (USO FARMACEUTICO)",28107,2,6
"ANALIZADOR DE GASES DE ESCAPE DE VEHICULOS",7171,4,3
"GUINCHE HIDRAULICO",6791,4,1
"TUBO DE EXTRACCION C/GEL Y ACELERADOR DE LA COAGULACION, AL VACIO",66233,2,9
"DETECCION DE LEGIONELLA POR INMUNOFLUORESCENCIA",27253,3,8
"DOSIFICACION DE ACIDO HIPURICO (METABOLITO DE TOLUENO) EN ORINA",24340,3,8
"HONORARIO DE ANESTESISTA",64897,3,8
"CLAVO PARA CHAPA",66645,2,8
"TUERCA CIEGA DE ACERO INOXIDABLE",1181,2,8
"SONDAJE DE VIA LAGRIMAL UNILATERAL",35847,3,8
"URETERORRENOSCOPIA DIAGNOSTICA",63465,3,8
"ACIDO ALFA CETOGLUTARICO",21671,2,6
"RECAUCHUTAJE DE NEUMATICO CON BANDA A TRACCION",10282,3,7
